Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Matthew Stafford,1503,8.2,183,122,66.7,11,2,107.3,68,37.2,24,3,88,9,55
Dak Prescott,1356,7,195,139,71.3,10,3,101.1,68,34.9,16,3,46,7,36
Daniel Jones,1290,8.6,150,107,71.3,6,2,105.1,62,41.3,14,4,75,4,34
Baker Mayfield,1283,7.5,172,112,65.1,10,1,104.4,58,33.7,20,3,77,9,66
Drake Maye,1261,8.2,153,113,73.9,7,2,107.8,58,37.9,16,1,55,17,54
Patrick Mahomes,1257,6.9,183,116,63.4,8,2,93.6,59,32.2,15,2,49,7,52
Sam Darnold,1246,9.3,134,98,73.1,9,3,114.8,58,43.3,19,4,53,6,34
Justin Herbert,1229,6.9,178,117,65.7,8,4,91.2,58,32.6,14,1,60,16,91
Josh Allen,1217,8,152,107,70.4,9,2,108.4,64,42.1,18,2,51,8,42
Jared Goff,1187,8.2,145,109,75.2,12,2,120.7,61,42.1,15,2,64,8,39
Geno Smith,1176,7.2,163,106,65,6,9,75.6,55,33.7,17,2,61,16,125
Jalen Hurts,1172,6.8,172,117,68,8,1,100.2,54,31.4,15,3,52,18,97
Bo Nix,1103,6.3,176,114,64.8,8,4,87.9,54,30.7,12,2,52,5,30
C.J. Stroud,1076,7.5,144,102,70.8,8,3,102.1,44,30.6,15,2,50,12,108
Trevor Lawrence,1066,6.3,169,102,60.4,6,5,78.2,50,29.6,12,3,46,6,38
Tua Tagovailoa,1008,6.7,150,106,70.7,10,4,100.1,57,38,10,2,47,11,58
Jordan Love,1000,8.3,121,84,69.4,8,1,113,46,38,12,3,57,8,69
Spencer Rattler,990,5.6,177,119,67.2,6,1,90.4,52,29.4,5,1,87,9,57
Kyler Murray,962,6,161,110,68.3,6,3,88.6,50,31.1,7,2,45,16,111
Bryce Young,951,5.5,174,106,60.9,7,4,79.4,53,30.5,11,1,40,9,74
Caleb Williams,927,7.1,130,81,62.3,8,2,97.8,41,31.5,13,2,65,7,51
Michael Penix Jr.,918,7.3,125,78,62.4,3,3,82.7,45,36,10,3,69,5,42
Mac Jones,905,7,129,86,66.7,6,1,99.1,48,37.2,6,1,42,5,23
Cam Ward,879,5.4,164,85,51.8,2,3,64,43,26.2,11,1,47,19,136
Lamar Jackson,869,9.2,95,68,71.6,10,1,130.6,39,41,14,1,41,15,103
